controller,step,time_s,intervened,nominal_u1,nominal_u2,nominal_u3,executed_u1,executed_u2,executed_u3,action_change_norm,slosh_mm,distance_to_goal_m
PD + BRT,138,1.3900,1,-3.2321284,-0.0475631,1.2824447,0.3988924,-0.2849284,-0.2705310,3.9563098,1.49172,0.419612
PD + BRT,139,1.4000,1,-3.2412465,-0.0384102,1.2910237,0.1271051,-0.1697086,-0.1013777,3.6471651,1.47975,0.418886
PD + BRT,140,1.4100,1,-3.2423191,-0.0326630,1.2945772,-0.2134709,-0.0277235,0.1108577,3.2519438,1.41891,0.418174
PD + BRT,141,1.4200,1,-3.2332270,-0.0311479,1.2917792,-0.4590453,0.0937570,0.2695113,2.9591751,1.29761,0.417456
PD + BRT,142,1.4300,1,-3.2167525,-0.0332785,1.2841941,-0.4865517,0.1846187,0.3171693,2.9045846,1.11689,0.416720
PD + BRT,143,1.4400,1,-3.1993876,-0.0381604,1.2751204,-0.3019987,0.2641365,0.2651953,3.0832119,0.89254,0.415962
PD + BRT,144,1.4500,1,-3.1874895,-0.0454714,1.2675378,0.0047147,0.3392718,0.1491137,3.4042718,0.65036,0.415195
PD + BRT,145,1.4600,1,-3.1847615,-0.0550956,1.2633810,0.3585539,0.4019020,-0.0075347,3.7919860,0.41931,0.414436
PD + BRT,146,1.4700,1,-3.1926775,-0.0666718,1.2638909,0.7145905,0.4307845,-0.1974989,4.2011747,0.22733,0.413706
PD + BRT,147,1.4800,1,-3.2113750,-0.0791999,1.2700981,1.0506837,0.3788629,-0.4332473,4.6126294,0.10719,0.413024
PD + BRT,148,1.4900,1,-3.2403259,-0.0902604,1.2834145,1.4336209,0.1037734,-0.8148452,5.1269994,0.11074,0.412411
PD + BRT,149,1.5000,1,-3.2810004,-0.0931469,1.3082623,1.5348629,-1.9052532,-2.0102866,6.1228290,0.18104,0.411889
PD + BRT,150,1.5100,0,-3.3250225,-0.0357857,1.3691325,-3.3250225,-0.0357857,1.3691325,0.0000000,0.19409,0.411464
PD + BRT,151,1.5200,1,-3.2235751,-0.0341296,1.3290161,0.8676561,0.8596231,0.2159260,4.3331208,0.17315,0.410853
PD + BRT,152,1.5300,1,-3.2472599,-0.0593345,1.3232129,1.1818672,0.6892747,-0.3145444,4.7811956,0.19437,0.410297
PD + BRT,153,1.5400,1,-3.2805681,-0.0796066,1.3332735,1.4046805,-2.7369809,-2.6213858,6.6822543,0.23086,0.409815
PD + BRT,154,1.5500,0,-3.3208187,0.0027671,1.4125962,-3.3208187,0.0027671,1.4125962,0.0000000,0.21851,0.409426
PD + BRT,155,1.5600,1,-3.2196038,0.0034930,1.3714167,0.0626428,1.1097008,0.8079520,3.5091782,0.14991,0.408850
PD + BRT,156,1.5700,1,-3.2192447,-0.0289976,1.3480822,0.5568258,1.0604938,0.2702133,4.0752301,0.12160,0.408281
PD + BRT,157,1.5800,1,-3.2337461,-0.0602421,1.3407096,1.1303914,0.8165473,-0.2838062,4.7385135,0.12513,0.407749
PD + BRT,158,1.5900,1,-3.2655876,-0.0843858,1.3498958,-0.8673043,-5.1752467,-2.8424463,7.0174327,0.09544,0.407288
PD + BRT,159,1.6000,1,-3.2377450,0.0710572,1.4358914,-3.0387983,0.2399264,1.4473264,0.2612037,0.05183,0.406793
PD + BRT,160,1.6100,1,-3.1446023,0.0650785,1.3937550,-0.1871854,1.2700156,0.7366762,3.2603588,0.23201,0.406128
PD + BRT,161,1.6200,1,-3.1364202,0.0281369,1.3726357,0.1798024,1.2542075,0.4518615,3.6535470,0.37692,0.405458
PD + BRT,162,1.6300,1,-3.1392362,-0.0085960,1.3599038,0.4494996,1.1796063,0.1965123,3.9552913,0.46349,0.404804
PD + BRT,163,1.6400,1,-3.1502047,-0.0433507,1.3547336,0.6782275,0.9953418,-0.0715489,4.2154546,0.48068,0.404183
PD + BRT,164,1.6500,1,-3.1681499,-0.0728199,1.3575587,0.9281437,0.5046519,-0.4541889,4.5161400,0.42318,0.403609
PD + BRT,165,1.6600,1,-3.1937525,-0.0877712,1.3718709,-0.6443960,-2.0777020,-0.7824677,3.8858998,0.34516,0.403096
PD + BRT,166,1.6700,1,-3.1723869,-0.0253548,1.3961153,-1.0846568,0.6188508,0.7720899,2.2722290,0.30697,0.402554
PD + BRT,167,1.6800,1,-3.1377048,-0.0434202,1.3738717,0.4439569,0.6085724,0.1767265,3.8323038,0.27075,0.401954
PD + BRT,168,1.6900,1,-3.1486857,-0.0613060,1.3693255,0.3230120,0.0534403,-0.2022267,3.8125620,0.19987,0.401384
PD + BRT,169,1.7000,1,-3.1561503,-0.0626632,1.3761051,-0.5117696,-0.6497520,-0.0806676,3.0756478,0.12948,0.400840
PD + BRT,170,1.7100,1,-3.1386585,-0.0429380,1.3792713,-0.1854257,0.1972049,0.1963596,3.1903811,0.07687,0.400272
PD + BRT,171,1.7200,1,-3.1308761,-0.0484937,1.3741350,0.0582685,0.0674391,0.0121485,3.4697394,0.04570,0.399698
PD + BRT,172,1.7300,1,-3.1303897,-0.0501995,1.3744786,0.0037084,-0.1328211,-0.1017478,3.4653487,0.07538,0.399134
PD + BRT,173,1.7400,1,-3.1283004,-0.0459143,1.3782294,-0.1290234,-0.1542556,-0.0281834,3.3144228,0.12609,0.398576
PD + BRT,174,1.7500,1,-3.1222520,-0.0409623,1.3797867,-0.1157905,-0.0103869,0.0352037,3.2935770,0.17190,0.398017
